left_curie	left_title	right_curie	right_titke	similarity
tess.tess:4932	PHENET webinar (22 Nov 24): Use Case of Doller Valley	tess.tess:4933	PHENET webinar (22 Nov 24): Earth observation services and proxy-detection for research infrastructures	0.9559647216264064
tess.tess:4931	PHENET webinar (22 Nov 24): Farms 2 Platforms	tess.tess:4933	PHENET webinar (22 Nov 24): Earth observation services and proxy-detection for research infrastructures	0.9588995441691482
tess.tess:4931	PHENET webinar (22 Nov 24): Farms 2 Platforms	tess.tess:4932	PHENET webinar (22 Nov 24): Use Case of Doller Valley	0.9670046134347607
tess.tess:4930	PHENET webinar (22 Nov 24): Introduction, Tools & Methods	tess.tess:4933	PHENET webinar (22 Nov 24): Earth observation services and proxy-detection for research infrastructures	0.9656507085895627
tess.tess:4930	PHENET webinar (22 Nov 24): Introduction, Tools & Methods	tess.tess:4932	PHENET webinar (22 Nov 24): Use Case of Doller Valley	0.9738128418673371
tess.tess:4930	PHENET webinar (22 Nov 24): Introduction, Tools & Methods	tess.tess:4931	PHENET webinar (22 Nov 24): Farms 2 Platforms	0.9767481404323749
tess.tess:4928	PHENET webinar (29 Nov 24): Open Science services for data management, integration, sharing and modelling	tess.tess:4929	PHENET webinar (29 Nov 24): Introduction, Tools and Methods	0.9510078863977649
tess.tess:4927	PHENET webinar (29 Nov 24): Adaptable phenotyping devices with AI embedded targeted towards traits	tess.tess:4929	PHENET webinar (29 Nov 24): Introduction, Tools and Methods	0.9253804321121285
tess.tess:4927	PHENET webinar (29 Nov 24): Adaptable phenotyping devices with AI embedded targeted towards traits	tess.tess:4928	PHENET webinar (29 Nov 24): Open Science services for data management, integration, sharing and modelling	0.9086593883497315
tess.tess:4926	PHENET webinar (29 Nov 24): Plant Health - Validated sensors and methodology	tess.tess:4929	PHENET webinar (29 Nov 24): Introduction, Tools and Methods	0.9430157847823315
tess.tess:4926	PHENET webinar (29 Nov 24): Plant Health - Validated sensors and methodology	tess.tess:4928	PHENET webinar (29 Nov 24): Open Science services for data management, integration, sharing and modelling	0.9259760812627892
tess.tess:4926	PHENET webinar (29 Nov 24): Plant Health - Validated sensors and methodology	tess.tess:4927	PHENET webinar (29 Nov 24): Adaptable phenotyping devices with AI embedded targeted towards traits	0.8999503443425166
tess.tess:4925	PHENET webinar (29 Nov 24): Intercropping in Europe: A systemic mapping of arable grain crops	tess.tess:4929	PHENET webinar (29 Nov 24): Introduction, Tools and Methods	0.9229315346889225
tess.tess:4925	PHENET webinar (29 Nov 24): Intercropping in Europe: A systemic mapping of arable grain crops	tess.tess:4928	PHENET webinar (29 Nov 24): Open Science services for data management, integration, sharing and modelling	0.90625474096636
tess.tess:4925	PHENET webinar (29 Nov 24): Intercropping in Europe: A systemic mapping of arable grain crops	tess.tess:4927	PHENET webinar (29 Nov 24): Adaptable phenotyping devices with AI embedded targeted towards traits	0.8807739756604521
